session_key,age,sex,education,major,native_language,other_language,dyslexia,hearing_diff,whisper,comments,addedQ,experiment_name
de1f5,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",Arts studies,Finnish,English,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['4']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
ffe6f,,,University degree: MA or equivalent,Logistics,French,"Finnish, German, English",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['4']}, {'Speaking': ['4']}, {'Listening': ['5']}, {'Writing': ['4']}, {'Reading': ['5']}]",LDAEXP315
cbefc,,,University of applied sciences,Film and Televsision,Finnish,"English, Swedish, Spanish",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['4']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
4ec75,,,University degree: BA or equivalent,German ,German,"Finnish, Swedish, English, basics in Russian and French",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['6']}, {'Writing': ['5']}, {'Reading': ['6']}]",LDAEXP315
1360d,,,University degree: BA or equivalent,Study of Religions,Finnish,"English, German, Swedish, French ",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
76e4d,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",English,English,Finnish,No,Yes,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
77f61,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",Cultiral studies,Finnish,English,No,No,,I have ADHD,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['4']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
786b9,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",English,"Finnish, English",Korean and Swedish A1,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
0eb0a,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",Japanese,Finnish,"Swedish, Japanese, english",No,Yes,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['4']}, {'Listening': ['6']}, {'Writing': ['5']}, {'Reading': ['6']}]",LDAEXP315
83491,,,University degree: MA or equivalent,Gender Studies,English,,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
a2cfb,,,University degree: BA or equivalent,Theatre studies,russian,"finnish, english, latvian, greek",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['Advanced']}, {'Speaking': ['5']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
2ead4,,,University degree: MA or equivalent,English,Spanish,Finnish,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['ADVANCED']}, {'Speaking': ['Advanced']}, {'Listening': ['Advanced']}, {'Writing': ['Advanced']}, {'Reading': ['Advanced']}]",LDAEXP315
null,,,University degree: Ph.D. or equivalent,economics,finnish,"swedish, english",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
9afbc,,,University degree: BA or equivalent,English & educational sciences,Finnish,English,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
null,,,University degree: MA or equivalent,Linguistics,Russian,"English, French",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
855bf,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",English philology,Finnish,"English, French",Yes,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
c30db,,,University degree: BA or equivalent,Drama,Finnish,English,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
3a6b5,,,University degree: MA or equivalent,"linguistics, African studies",Finnish,"Swedish, English, German, Swahili",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
8a677,,,University degree: MA or equivalent,English Philology,Finnish,"English, Swedish, French, Italian, Arabic",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
8b537,,,University degree: BA or equivalent,History of Art,Finnish,"English, Spanish, Swedish",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['4']}, {'Listening': ['4']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
e469b,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",Film studies,"Finnish, swedish","German, english",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['4']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
3e94a,,,University of applied sciences,ICT,Finnish,,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
ef40b,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",History,Finnish,"English, French, Japanese, Latin, Russianm Swedish, German, Classical Greek",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
9af2e,,,University degree: BA or equivalent,Finnish language and Finno-Ugrian languages and cultures,Finnish,"English, French, Swedish, Estonian, Finnish sign language",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['4']}, {'Speaking': ['3']}, {'Listening': ['3']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
445b8,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",Nordic languages,Swedish,"English, Finnish, French, Danish, Norwegian...",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
47247,,,University degree: MA or equivalent,Law,Finnish,"French; english, swedish, latin",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
617eb,,,University degree: BA or equivalent,"Media Production, Creative Writing",English,Finnish,No,Yes,,"Auditory processing disorder
I have had problems with switching letters and numbers","[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
1d77f,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",History ,Finnish,"English, Swedish, German",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['6']}, {'Writing': ['5']}, {'Reading': ['6']}]",LDAEXP315
989a5,,,University degree: MA or equivalent,"East Asian Studies, Linguistics",Swedish,"English, Finnish",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
bdd6e,,,University degree: BA or equivalent,English filology,"Finnish, English","Some Japanese, Swedish, French",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
58155,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",Finnish language and litterature,Finnish,"Estonian, English, Swedish, French, German",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['5']}, {'Writing': ['4']}, {'Reading': ['5']}]",LDAEXP315
14a92,,,University degree: BA or equivalent,International Politics,Finnish,"Swedish, English, German, Mandarin Chinese, Spanish",No,No,,N/A,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
aedd6,,,University degree: MA or equivalent,History,Swedish/Finnish,English,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['5']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
80142,,,University degree: MA or equivalent,Applied Linguistic,Portuguese,"English, Spanish and French",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['5']}, {'Reading': ['6']}]",LDAEXP315
96c1c,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",Cultural Studies,Finnish,"English, French, Swedish",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['4']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['6']}]",LDAEXP315
5cf7b,,,University degree: MA or equivalent,Nordic literature,Swedish,"English, Finnish, Danish",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['6']}, {'Writing': ['5']}, {'Reading': ['6']}]",LDAEXP315
4019c,,,University degree: MA or equivalent,linguistics,Finnish,"English, Swedish",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['4']}, {'Speaking': ['3']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
de7f3,,,University degree: BA or equivalent,Museum Studies,German,English,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['4']}, {'Speaking': ['4']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
9e5a9,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",travelling industry,finnish,"english, french",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': [""I can speak, write and understand English in areas known to me. Im able to follow a conversation or a text even if I don't understand all the words. I read a lot in English and also speak it every week.""]}, {'Speaking': ['3']}, {'Listening': ['5']}, {'Writing': ['4']}, {'Reading': ['6']}]",LDAEXP315
1b522,,,University degree: Ph.D. or equivalent,Chemistry,French,"English, Finnish, Swedish, German",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
